name,abbreviation,nirf_rank,nirf_rank_year,rating,review_count,state,city,affiliation,founded_year,is_premier,placement_percentage,avg_package,highest_package,description
"National Institute of Mental Health & Neuro Sciences, Bangalore",NIOMH,42,2024,4.6,394,Karnataka,Bangalore,Central University Affiliated,2003,TRUE,84.7,21.7,108.4,"National Institute of Mental Health & Neuro Sciences, Bangalore is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
"National Institute of Mental Health & Neuro Sciences, Bangalore",NIOMH,4,2024,3.9,389,nan,nan,AICTE Approved,2003,TRUE,59.5,15.4,47.9,"National Institute of Mental Health & Neuro Sciences, Bangalore is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
"National Institute of Mental Health & Neuro Sciences, Bangalore",NIOMH,,,4.2,321,Karnataka,Bangalore,Private Autonomous,2000,FALSE,97.3,4.9,19.6,"National Institute of Mental Health & Neuro Sciences, Bangalore is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
National Institute of Science & Technology,NIOST,,,4.0,178,Odisha,Berhampur,Central University Affiliated,1962,FALSE,90.6,5.8,14.8,"National Institute of Science & Technology is a renowned institution located in Berhampur, Odisha. It offers comprehensive higher education programs."
National Institute of Techn,NIOT,229,2024,4.2,253,Nagaland,Dimapur,AICTE Approved,1993,FALSE,95.0,6.5,11.9,"National Institute of Techn is a renowned institution located in Dimapur, Nagaland. It offers comprehensive higher education programs."
National Institute of Technology,NIOT,285,2024,4.8,282,Andhra Pradesh,Tadepalligudem,State University Affiliated,1982,FALSE,79.3,3.5,17.1,"National Institute of Technology is a renowned institution located in Tadepalligudem, Andhra Pradesh. It offers comprehensive higher education programs."
National Institute of Technology Agartala,NIOTA,80,2024,3.6,404,Tripura,Agratala,State University Affiliated,1979,TRUE,98.4,12.1,44.6,"National Institute of Technology Agartala is a renowned institution located in Agratala, Tripura. It offers comprehensive higher education programs."
National Institute of Technology Arunachal Pradesh,NIOTA,171,2024,4.7,413,Arunachal Pradesh,Itanagar,State University Affiliated,1979,FALSE,64.5,6.3,16.9,"National Institute of Technology Arunachal Pradesh is a renowned institution located in Itanagar, Arunachal Pradesh. It offers comprehensive higher education programs."
National Institute of Technology Delhi,NIOTD,194,2024,3.8,15,Delhi,Delhi,AICTE Approved,1951,FALSE,86.9,5.5,9.7,"National Institute of Technology Delhi is a renowned institution located in Delhi, Delhi. It offers comprehensive higher education programs."
National Institute of Technology Durgapur,NIOTD,34,2024,4.8,141,West Bengal,Durgapur,Private Autonomous,2005,TRUE,89.7,16.0,45.9,"National Institute of Technology Durgapur is a renowned institution located in Durgapur, West Bengal. It offers comprehensive higher education programs."
National Institute of Technology Goa,NIOTG,88,2024,3.7,291,Goa,Ponda,Central University Affiliated,1992,TRUE,78.8,10.4,42.8,"National Institute of Technology Goa is a renowned institution located in Ponda, Goa. It offers comprehensive higher education programs."
National Institute of Technology Karnataka,NIOTK,,,4.0,42,Karnataka,Surathkal,State University Affiliated,1999,FALSE,72.9,3.6,11.7,"National Institute of Technology Karnataka is a renowned institution located in Surathkal, Karnataka. It offers comprehensive higher education programs."
"National Institute of Technology Karnataka, Surathkal",NIOTK,,,4.0,176,Karnataka,Surathkal,State University Affiliated,2002,FALSE,87.4,7.2,28.9,"National Institute of Technology Karnataka, Surathkal is a renowned institution located in Surathkal, Karnataka. It offers comprehensive higher education programs."
"National Institute of Technology Karnataka, Surathkal",NIOTK,10,2024,3.5,162,Karnataka,Surathkal,UGC Recognized,1963,TRUE,71.8,12.3,46.9,"National Institute of Technology Karnataka, Surathkal is a renowned institution located in Surathkal, Karnataka. It offers comprehensive higher education programs."
National Institute of Technology Kurukshetra,NIOTK,50,2024,4.8,343,Haryana,Kurukshetra,Central University Affiliated,1979,TRUE,66.3,14.1,57.2,"National Institute of Technology Kurukshetra is a renowned institution located in Kurukshetra, Haryana. It offers comprehensive higher education programs."
National Institute of Technology Manipur,NIOTM,108,2024,4.0,290,Manipur,Imphal,AICTE Approved,1972,FALSE,75.3,7.0,19.4,"National Institute of Technology Manipur is a renowned institution located in Imphal, Manipur. It offers comprehensive higher education programs."
National Institute of Technology Meghalaya,NIOTM,60,2024,4.0,356,Meghalaya,Shillong,Private Autonomous,1992,TRUE,70.0,13.3,52.1,"National Institute of Technology Meghalaya is a renowned institution located in Shillong, Meghalaya. It offers comprehensive higher education programs."
National Institute of Technology Mizoram,NIOTM,,,4.6,209,Mizoram,Aizawl,Private Autonomous,1953,FALSE,92.0,3.6,9.5,"National Institute of Technology Mizoram is a renowned institution located in Aizawl, Mizoram. It offers comprehensive higher education programs."
National Institute of Technology Nagaland,NIOTN,,,4.8,56,Nagaland,Dimapur,State University Affiliated,1998,FALSE,84.8,4.7,15.5,"National Institute of Technology Nagaland is a renowned institution located in Dimapur, Nagaland. It offers comprehensive higher education programs."
National Institute of Technology Puducherry,NIOTP,136,2024,3.4,303,Pondicherry,Karaikal,UGC Recognized,1985,FALSE,86.5,3.8,16.7,"National Institute of Technology Puducherry is a renowned institution located in Karaikal, Pondicherry. It offers comprehensive higher education programs."
National Institute of Technology Rourkela,NIOTR,24,2024,3.6,59,Odisha,Rourkela,Central University Affiliated,1955,TRUE,95.3,14.2,39.5,"National Institute of Technology Rourkela is a renowned institution located in Rourkela, Odisha. It offers comprehensive higher education programs."
National Institute of Technology Rourkela,NIOTR,,,4.5,82,Odisha,Rourkela,UGC Recognized,1986,FALSE,71.8,7.5,26.0,"National Institute of Technology Rourkela is a renowned institution located in Rourkela, Odisha. It offers comprehensive higher education programs."
National Institute of Technology Sikkim,NIOTS,173,2024,3.7,235,Sikkim,South Sikkim,Private Autonomous,2007,FALSE,64.5,3.5,12.8,"National Institute of Technology Sikkim is a renowned institution located in South Sikkim, Sikkim. It offers comprehensive higher education programs."
National Institute of Technology Srinagar,NIOTS,66,2024,4.5,295,Jammu and Kashmir,Srinagar,State University Affiliated,1970,TRUE,93.8,11.9,29.0,"National Institute of Technology Srinagar is a renowned institution located in Srinagar, Jammu and Kashmir. It offers comprehensive higher education programs."
National Institute of Technology Tiruchirappalli,NIOTT,,,4.9,301,Tamil Nadu,Tiruchirappalli,Private Autonomous,1972,FALSE,71.2,5.5,18.2,"National Institute of Technology Tiruchirappalli is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
National Institute of Technology Uttarakhand,NIOTU,131,2024,4.9,204,Uttarakhand,Srinagar (Garhwal),State University Affiliated,2008,FALSE,77.4,3.5,16.1,"National Institute of Technology Uttarakhand is a renowned institution located in Srinagar (Garhwal), Uttarakhand. It offers comprehensive higher education programs."
National Institute of Technology Warangal,NIOTW,21,2024,3.6,51,Telangana,Warangal,Private Autonomous,1984,TRUE,80.5,19.8,37.9,"National Institute of Technology Warangal is a renowned institution located in Warangal, Telangana. It offers comprehensive higher education programs."
"National Institute of Technology, Andhra Pradesh",NIOTA,,,4.7,333,Andhra Pradesh,TADEPALLIGUDEM,AICTE Approved,1995,FALSE,77.1,5.0,13.5,"National Institute of Technology, Andhra Pradesh is a renowned institution located in TADEPALLIGUDEM, Andhra Pradesh. It offers comprehensive higher education programs."
"National Institute of Technology, Calicut",NIOTC,31,2024,4.8,192,Kerala,Kozhikode,AICTE Approved,1976,TRUE,97.4,18.9,47.8,"National Institute of Technology, Calicut is a renowned institution located in Kozhikode, Kerala. It offers comprehensive higher education programs."
"National Institute of Technology, Calicut",NIOTC,84,2024,4.8,381,nan,nan,Private Autonomous,1995,TRUE,89.1,12.1,52.1,"National Institute of Technology, Calicut is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
"National Institute of Technology, Hamirpur",NIOTH,128,2024,3.5,103,Himachal Pradesh,Hamirpur,UGC Recognized,2004,FALSE,77.5,4.8,12.8,"National Institute of Technology, Hamirpur is a renowned institution located in Hamirpur, Himachal Pradesh. It offers comprehensive higher education programs."
"National Institute of Technology, Jamshedpur",NIOTJ,90,2024,4.6,380,Jharkhand,Jamshedpur,AICTE Approved,2005,TRUE,91.5,10.9,27.3,"National Institute of Technology, Jamshedpur is a renowned institution located in Jamshedpur, Jharkhand. It offers comprehensive higher education programs."
"National Institute of Technology, Patna",NIOTP,63,2024,4.0,61,Bihar,Patna,UGC Recognized,1961,TRUE,87.8,9.3,20.0,"National Institute of Technology, Patna is a renowned institution located in Patna, Bihar. It offers comprehensive higher education programs."
"National Institute of Technology, Raipur",NIOTR,65,2024,4.5,49,Chhattisgarh,Raipur,AICTE Approved,1975,TRUE,70.1,9.0,26.7,"National Institute of Technology, Raipur is a renowned institution located in Raipur, Chhattisgarh. It offers comprehensive higher education programs."
"National Institute of Technology, Silchar",NIOTS,50,2024,3.7,143,Assam,Silchar,Private Autonomous,2004,TRUE,55.4,14.6,32.1,"National Institute of Technology, Silchar is a renowned institution located in Silchar, Assam. It offers comprehensive higher education programs."
"National Institute of Technology, Tiruchirappalli",NIOTT,39,2024,4.0,84,nan,nan,State University Affiliated,1967,TRUE,97.7,22.7,43.2,"National Institute of Technology, Tiruchirappalli is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
"National Institute of Technology, Tiruchirappalli",NIOTT,23,2024,3.6,241,Tamil Nadu,Tiruchirappalli,State University Affiliated,1956,TRUE,62.8,21.6,74.6,"National Institute of Technology, Tiruchirappalli is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
"National Law Institute University, Bhopal",NLIUB,15,2024,4.0,259,Madhya Pradesh,Bhopal,UGC Recognized,1954,TRUE,57.5,16.8,41.6,"National Law Institute University, Bhopal is a renowned institution located in Bhopal, Madhya Pradesh. It offers comprehensive higher education programs."
National Law School of India University,NLSOI,1,2024,4.8,193,Karnataka,Bengaluru,Private Autonomous,1962,TRUE,60.7,24.9,70.9,"National Law School of India University is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
National Law University,NLU,2,2024,3.6,154,Delhi,New Delhi,Central University Affiliated,1993,TRUE,59.3,18.1,44.0,"National Law University is a renowned institution located in New Delhi, Delhi. It offers comprehensive higher education programs."
National Law University,NLU,25,2024,4.8,348,Odisha,Cuttack,Central University Affiliated,1968,TRUE,64.5,19.4,45.1,"National Law University is a renowned institution located in Cuttack, Odisha. It offers comprehensive higher education programs."
National Law University and Judicial Academy,NLUAJ,24,2024,4.8,425,Assam,Kamrup,AICTE Approved,2010,TRUE,63.7,16.2,75.4,"National Law University and Judicial Academy is a renowned institution located in Kamrup, Assam. It offers comprehensive higher education programs."
"National Law University, Jodhpur",NLUJ,10,2024,3.9,297,Rajasthan,Jodhpur,AICTE Approved,2012,TRUE,78.3,17.5,43.3,"National Law University, Jodhpur is a renowned institution located in Jodhpur, Rajasthan. It offers comprehensive higher education programs."
National University of Advanced Legal Studies (NUALS),NUOAL,,,4.8,281,Kerala,Kochi,State University Affiliated,1959,FALSE,93.2,4.3,15.4,"National University of Advanced Legal Studies (NUALS) is a renowned institution located in Kochi, Kerala. It offers comprehensive higher education programs."
"National University of Study & Research in Law, Ranchi",NUOSR,22,2024,3.5,255,Jharkhand,Ranchi,State University Affiliated,2009,TRUE,95.2,20.3,91.3,"National University of Study & Research in Law, Ranchi is a renowned institution located in Ranchi, Jharkhand. It offers comprehensive higher education programs."
Nav Nirman Sewa Samiti`s Samalkha Group of Institutions,NNSSS,,,4.5,152,Haryana,Panipat,AICTE Approved,1994,FALSE,95.6,7.4,31.3,"Nav Nirman Sewa Samiti`s Samalkha Group of Institutions is a renowned institution located in Panipat, Haryana. It offers comprehensive higher education programs."
Naveen Government College Khertha,NGCK,,,4.5,261,Chhattisgarh,"Village Khertha, Block Dondilohara",UGC Recognized,1973,FALSE,76.4,5.9,21.9,"Naveen Government College Khertha is a renowned institution located in Village Khertha, Block Dondilohara, Chhattisgarh. It offers comprehensive higher education programs."
"Navgan Shikshan Sanstha Rajuri (N) Mrs. Kesharbai Sonajirao Kshirsagar Alias Kaku Arts, Science & Commerce College",NSSRM,,,4.1,134,Maharashtra,Beed,State University Affiliated,1973,FALSE,66.0,6.2,28.5,"Navgan Shikshan Sanstha Rajuri (N) Mrs. Kesharbai Sonajirao Kshirsagar Alias Kaku Arts, Science & Commerce College is a renowned institution located in Beed, Maharashtra. It offers comprehensive higher education programs."
Navgan Shikshan Sanstha`s College of Arts & Commerce,NSSCO,,,4.5,228,Maharashtra,Beed,State University Affiliated,1958,FALSE,79.5,7.5,34.8,"Navgan Shikshan Sanstha`s College of Arts & Commerce is a renowned institution located in Beed, Maharashtra. It offers comprehensive higher education programs."
"Navodaya Institute of Technology, Raichur",NIOTR,,,3.9,179,Karnataka,Raichur,AICTE Approved,1984,FALSE,94.7,5.9,16.7,"Navodaya Institute of Technology, Raichur is a renowned institution located in Raichur, Karnataka. It offers comprehensive higher education programs."
Navodaya dental College,NDC,,,3.4,438,Karnataka,Raichur,Private Autonomous,1973,FALSE,55.4,6.7,16.2,"Navodaya dental College is a renowned institution located in Raichur, Karnataka. It offers comprehensive higher education programs."
Navrachana University,NU,,,3.6,412,Gujarat,Vadodara,Private Autonomous,1983,FALSE,76.6,4.1,8.9,"Navrachana University is a renowned institution located in Vadodara, Gujarat. It offers comprehensive higher education programs."
Nazareth College of Arts and Science,NCOAA,,,4.5,362,Tamil Nadu,Chennai,Central University Affiliated,1969,FALSE,83.2,4.9,18.3,"Nazareth College of Arts and Science is a renowned institution located in Chennai, Tamil Nadu. It offers comprehensive higher education programs."
Nazareth Margoschis College,NMC,,,3.7,46,Tamil Nadu,Thoothukudi,Central University Affiliated,1993,FALSE,88.7,4.1,12.6,"Nazareth Margoschis College is a renowned institution located in Thoothukudi, Tamil Nadu. It offers comprehensive higher education programs."
Nazira College,NC,,,4.7,227,Assam,Sivasagar,State University Affiliated,2008,FALSE,87.9,3.8,12.9,"Nazira College is a renowned institution located in Sivasagar, Assam. It offers comprehensive higher education programs."
Nehru Arts & Science College,NASC,,,3.7,96,Kerala,Kasaragod,AICTE Approved,1993,FALSE,81.8,5.0,15.8,"Nehru Arts & Science College is a renowned institution located in Kasaragod, Kerala. It offers comprehensive higher education programs."
Nehru Arts and Science College,NAASC,,,3.4,322,Tamil Nadu,Coimbatore,Central University Affiliated,1977,FALSE,56.6,6.3,18.3,"Nehru Arts and Science College is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
Nehru College of Engineering and Research Centre,NCOEA,,,4.4,203,Kerala,Pampady,AICTE Approved,1962,FALSE,89.1,3.6,13.1,"Nehru College of Engineering and Research Centre is a renowned institution located in Pampady, Kerala. It offers comprehensive higher education programs."
Nehru College of Nursing,NCON,,,3.4,52,Kerala,Vaniyamkulam,UGC Recognized,1956,FALSE,58.5,4.6,13.2,"Nehru College of Nursing is a renowned institution located in Vaniyamkulam, Kerala. It offers comprehensive higher education programs."
Nehru Institute of Engineering and Technology,NIOEA,,,4.8,328,Tamil Nadu,Coimbatore,AICTE Approved,1962,FALSE,71.5,5.9,21.7,"Nehru Institute of Engineering and Technology is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
Nehru Memorial College,NMC,,,3.8,72,Tamil Nadu,Tiruchirappalli,State University Affiliated,1958,FALSE,92.3,4.2,20.3,"Nehru Memorial College is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
Nehru Memorial Government Degree College,NMGDC,,,4.3,316,Telangana,Medak,Private Autonomous,1972,FALSE,76.8,4.4,20.1,"Nehru Memorial Government Degree College is a renowned institution located in Medak, Telangana. It offers comprehensive higher education programs."
"Neotia Institute of Technology, Management and Sciencee",NIOTM,,,3.9,122,West Bengal,Kolkata,Private Autonomous,1969,FALSE,74.7,4.9,8.2,"Neotia Institute of Technology, Management and Sciencee is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
"Nesamony Memorial Christian College, Kanyakumari Dist.",NMCCK,,,4.5,214,Tamil Nadu,Marthandam,Central University Affiliated,1987,FALSE,58.7,3.7,11.2,"Nesamony Memorial Christian College, Kanyakumari Dist. is a renowned institution located in Marthandam, Tamil Nadu. It offers comprehensive higher education programs."
Ness Wadia College of Commerce,NWCOC,,,4.5,264,Maharashtra,Pune,AICTE Approved,1970,FALSE,78.0,5.1,16.5,"Ness Wadia College of Commerce is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
Netaji Subhas Mahavidyalaya,NSM,,,3.9,17,Tripura,Udaipur,AICTE Approved,2005,FALSE,80.5,7.4,30.2,"Netaji Subhas Mahavidyalaya is a renowned institution located in Udaipur, Tripura. It offers comprehensive higher education programs."
Netaji Subhas University of Technology (NSUT),NSUOT,79,2024,4.4,62,Delhi,South West,State University Affiliated,1959,TRUE,71.6,9.1,20.7,"Netaji Subhas University of Technology (NSUT) is a renowned institution located in South West, Delhi. It offers comprehensive higher education programs."
"Netaji Subhash Chandra Bose Government Girls College, seoni",NSCBG,,,3.5,17,Madhya Pradesh,Seoni,UGC Recognized,1956,FALSE,86.9,6.5,21.4,"Netaji Subhash Chandra Bose Government Girls College, seoni is a renowned institution located in Seoni, Madhya Pradesh. It offers comprehensive higher education programs."
Netaji Subhash Engineering College,NSEC,,,3.8,278,West Bengal,Kolkata,Central University Affiliated,1966,FALSE,55.8,6.5,20.7,"Netaji Subhash Engineering College is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
"New Arts Commerce and Science College, Bachelor Road",NACAS,,,4.0,267,Maharashtra,Wardha,UGC Recognized,1985,FALSE,67.7,3.9,7.1,"New Arts Commerce and Science College, Bachelor Road is a renowned institution located in Wardha, Maharashtra. It offers comprehensive higher education programs."
New College,NC,,,3.5,288,Tamil Nadu,Chennai,UGC Recognized,1956,FALSE,60.8,6.5,19.4,"New College is a renowned institution located in Chennai, Tamil Nadu. It offers comprehensive higher education programs."
New Education Society's Arts & Commerce,NESAC,,,4.8,441,Maharashtra,Ratnagiri,Central University Affiliated,1965,FALSE,84.2,7.3,23.0,"New Education Society's Arts & Commerce is a renowned institution located in Ratnagiri, Maharashtra. It offers comprehensive higher education programs."
New Horizon College of Engineering,NHCOE,121,2024,3.8,386,Karnataka,Bengaluru,AICTE Approved,2004,FALSE,72.1,5.5,24.4,"New Horizon College of Engineering is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
"New Horizon College, Kasturinagar",NHCK,,,4.3,319,Karnataka,Bengaluru,AICTE Approved,2011,FALSE,69.8,3.8,16.8,"New Horizon College, Kasturinagar is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
New Prince Shri Bhavani College of Engineering and Technology,NPSBC,,,3.5,292,Tamil Nadu,Chennai,UGC Recognized,2003,FALSE,89.9,4.9,16.6,"New Prince Shri Bhavani College of Engineering and Technology is a renowned institution located in Chennai, Tamil Nadu. It offers comprehensive higher education programs."
Newman College,NC,,,3.9,394,Kerala,Thodupuzha,Private Autonomous,1969,FALSE,58.5,5.5,9.2,"Newman College is a renowned institution located in Thodupuzha, Kerala. It offers comprehensive higher education programs."
Night College of Arts and Commerce Kolhapur,NCOAA,,,4.8,163,Maharashtra,Kolhapur,Central University Affiliated,1980,FALSE,76.1,5.7,25.8,"Night College of Arts and Commerce Kolhapur is a renowned institution located in Kolhapur, Maharashtra. It offers comprehensive higher education programs."
"Nijampur Jaitane SPM Adarch Arts, Commerce & Science College, Nijampur",NJSAA,,,4.4,138,Maharashtra,Nijampur-Jaitane,Private Autonomous,2008,FALSE,59.1,7.3,12.5,"Nijampur Jaitane SPM Adarch Arts, Commerce & Science College, Nijampur is a renowned institution located in Nijampur-Jaitane, Maharashtra. It offers comprehensive higher education programs."
Nil Ratan Sircar Medical College and Hospital,NRSMC,,,4.1,402,West Bengal,Kolkata,State University Affiliated,2005,FALSE,87.3,5.1,18.9,"Nil Ratan Sircar Medical College and Hospital is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
"Nilamber-Pitamber University, Palamu",NUP,,,4.7,377,Jharkhand,Medininagar,Central University Affiliated,1986,FALSE,74.8,5.3,16.3,"Nilamber-Pitamber University, Palamu is a renowned institution located in Medininagar, Jharkhand. It offers comprehensive higher education programs."
Nirma University,NU,45,2024,4.1,295,nan,nan,AICTE Approved,1985,TRUE,90.9,19.8,65.4,"Nirma University is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
Nirma University,NU,125,2024,4.6,305,Gujarat,Ahmedabad,Private Autonomous,2011,FALSE,90.9,4.8,21.3,"Nirma University is a renowned institution located in Ahmedabad, Gujarat. It offers comprehensive higher education programs."
Nirmala College,NC,,,4.7,307,Jharkhand,Ranchi,UGC Recognized,1957,FALSE,97.5,7.3,15.7,"Nirmala College is a renowned institution located in Ranchi, Jharkhand. It offers comprehensive higher education programs."
Nirmala College for Women,NCFW,,,3.5,66,Tamil Nadu,Coimbatore,Central University Affiliated,1996,FALSE,60.9,4.7,16.2,"Nirmala College for Women is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
"Nirmala College, Muvattupuzha",NCM,,,3.5,338,Kerala,Ernakulam,UGC Recognized,1977,FALSE,65.1,6.6,20.3,"Nirmala College, Muvattupuzha is a renowned institution located in Ernakulam, Kerala. It offers comprehensive higher education programs."
Nirmalagiri College,NC,,,4.6,311,Kerala,Kannur,AICTE Approved,1985,FALSE,65.7,7.3,22.2,"Nirmalagiri College is a renowned institution located in Kannur, Kerala. It offers comprehensive higher education programs."
Nitte Meenakshi Institute of Technology,NMIOT,183,2024,4.8,244,Karnataka,Bengaluru,Private Autonomous,1981,FALSE,85.7,7.0,22.0,"Nitte Meenakshi Institute of Technology is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
"Nizam College, Basheerbagh",NCB,,,3.7,391,Telangana,Hyderabad,AICTE Approved,2000,FALSE,90.0,7.1,25.7,"Nizam College, Basheerbagh is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
Noida Institute of Engineering & Technology,NIOET,145,2024,4.0,103,Uttar Pradesh,Greater Noida,Private Autonomous,1977,FALSE,96.1,6.0,10.2,"Noida Institute of Engineering & Technology is a renowned institution located in Greater Noida, Uttar Pradesh. It offers comprehensive higher education programs."
Noorul Islam Centre for Higher Education - Kanyakumari,NICFH,,,3.9,110,Tamil Nadu,Thuckalay,AICTE Approved,2005,FALSE,88.0,7.1,19.3,"Noorul Islam Centre for Higher Education - Kanyakumari is a renowned institution located in Thuckalay, Tamil Nadu. It offers comprehensive higher education programs."
"Noorul Islam College of Arts & Science, Kumaracoil",NICOA,,,3.8,24,Tamil Nadu,Nagercoil,Private Autonomous,1957,FALSE,82.9,6.2,12.4,"Noorul Islam College of Arts & Science, Kumaracoil is a renowned institution located in Nagercoil, Tamil Nadu. It offers comprehensive higher education programs."
North Eastern Hill University,NEHU,,,3.8,90,Meghalaya,Shillong,State University Affiliated,1975,FALSE,59.9,5.5,13.9,"North Eastern Hill University is a renowned institution located in Shillong, Meghalaya. It offers comprehensive higher education programs."
North Eastern Regional Institute of Scienc,NERIO,230,2024,4.4,303,Arunachal Pradesh,Itanagar,AICTE Approved,2000,FALSE,93.3,6.8,13.3,"North Eastern Regional Institute of Scienc is a renowned institution located in Itanagar, Arunachal Pradesh. It offers comprehensive higher education programs."
North Eastern Regional Institute of Science & Technology,NERIO,,,4.7,320,Arunachal Pradesh,Itanagar,State University Affiliated,1951,FALSE,57.8,5.4,11.1,"North Eastern Regional Institute of Science & Technology is a renowned institution located in Itanagar, Arunachal Pradesh. It offers comprehensive higher education programs."
North Lakhimpur College,NLC,,,4.1,105,Assam,Lakhimpur,Central University Affiliated,1992,FALSE,60.7,6.5,19.2,"North Lakhimpur College is a renowned institution located in Lakhimpur, Assam. It offers comprehensive higher education programs."
Nowgong College,NC,,,4.6,297,Assam,Nagaon,Private Autonomous,1999,FALSE,89.2,6.8,27.6,"Nowgong College is a renowned institution located in Nagaon, Assam. It offers comprehensive higher education programs."
Nutan Mahavidyalaya,NM,,,4.2,265,Maharashtra,Parbhani,Private Autonomous,2002,FALSE,62.6,7.5,23.3,"Nutan Mahavidyalaya is a renowned institution located in Parbhani, Maharashtra. It offers comprehensive higher education programs."
"Nutan Vidya Prasarak Mandal`s Arts, Commerce & Science College",NVPMA,,,4.0,363,Maharashtra,Nashik,AICTE Approved,1990,FALSE,96.9,7.4,17.1,"Nutan Vidya Prasarak Mandal`s Arts, Commerce & Science College is a renowned institution located in Nashik, Maharashtra. It offers comprehensive higher education programs."
"Nyayadhish Tatyasaheb Athalye ArtsVedmurti S R Sapre Commerce and Vidhidnya Dadasaheb Pitre Science College, Dist Ratnagiri",NTAAS,,,4.8,135,Maharashtra,Devrukh,AICTE Approved,1996,FALSE,91.8,3.7,15.9,"Nyayadhish Tatyasaheb Athalye ArtsVedmurti S R Sapre Commerce and Vidhidnya Dadasaheb Pitre Science College, Dist Ratnagiri is a renowned institution located in Devrukh, Maharashtra. It offers comprehensive higher education programs."
OP Jindal University,OJU,,,3.9,86,Chhattisgarh,Raigarh,State University Affiliated,1985,FALSE,88.4,7.5,14.8,"OP Jindal University is a renowned institution located in Raigarh, Chhattisgarh. It offers comprehensive higher education programs."
Om Institute of Technology & Management,OIOTM,,,4.8,279,Haryana,HISAR,Central University Affiliated,2001,FALSE,76.0,7.4,35.5,"Om Institute of Technology & Management is a renowned institution located in HISAR, Haryana. It offers comprehensive higher education programs."
Omdayal Group of Institutions,OGOI,,,3.6,219,West Bengal,Howrah,UGC Recognized,1997,FALSE,94.1,7.4,34.0,"Omdayal Group of Institutions is a renowned institution located in Howrah, West Bengal. It offers comprehensive higher education programs."
"Omkarnand Saraswati Degree College, Devprayag",OSDCD,,,4.4,186,Uttarakhand,Devprayag,State University Affiliated,1978,FALSE,96.4,6.5,15.7,"Omkarnand Saraswati Degree College, Devprayag is a renowned institution located in Devprayag, Uttarakhand. It offers comprehensive higher education programs."
"Orange city College of Social Work, Umred Road",OCCOS,,,3.8,183,Maharashtra,Nagpur,Central University Affiliated,1994,FALSE,70.6,6.8,32.3,"Orange city College of Social Work, Umred Road is a renowned institution located in Nagpur, Maharashtra. It offers comprehensive higher education programs."
Oriental College,OC,,,3.5,359,Manipur,Imphal,AICTE Approved,1976,FALSE,67.3,5.4,23.8,"Oriental College is a renowned institution located in Imphal, Manipur. It offers comprehensive higher education programs."
Oriental College of Technology,OCOT,,,4.4,96,Madhya Pradesh,Bhopal,AICTE Approved,1971,FALSE,96.3,5.1,9.5,"Oriental College of Technology is a renowned institution located in Bhopal, Madhya Pradesh. It offers comprehensive higher education programs."
Oriental Institute of Science and Technology,OIOSA,,,3.9,140,Madhya Pradesh,Bhopal,UGC Recognized,1989,FALSE,81.3,5.4,19.3,"Oriental Institute of Science and Technology is a renowned institution located in Bhopal, Madhya Pradesh. It offers comprehensive higher education programs."
"Oriental University, Indore",OUI,,,4.9,252,Madhya Pradesh,Indore,Central University Affiliated,1955,FALSE,89.0,5.3,21.5,"Oriental University, Indore is a renowned institution located in Indore, Madhya Pradesh. It offers comprehensive higher education programs."
"Osmania College, Kurnool",OCK,,,3.4,167,Andhra Pradesh,Kurnool,Central University Affiliated,1989,FALSE,59.9,5.8,26.6,"Osmania College, Kurnool is a renowned institution located in Kurnool, Andhra Pradesh. It offers comprehensive higher education programs."
Osmania University,OU,,,4.9,149,Telangana,Hyderabad,Central University Affiliated,1979,FALSE,72.2,5.8,19.6,"Osmania University is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
"P D A College of Engineering, Gulbarga",PDACO,,,4.1,141,Karnataka,Kalaburagi,Private Autonomous,1978,FALSE,70.4,7.0,13.5,"P D A College of Engineering, Gulbarga is a renowned institution located in Kalaburagi, Karnataka. It offers comprehensive higher education programs."
